pathway	104B_1w_ML	104B_3w_ML	104B_4w_ML	104E_1w_ML	104E_3w_ML	104E_4w_ML	104R_1w_ML	104R_3w_ML	104R_4w_ML	104S_0w_ML	105B_1w_ML	105B_3w_ML	105B_4w_ML	105E_1w_ML	105E_3w_ML	105E_4w_ML	105R_1w_ML	105R_3w_ML	105R_4w_ML	105S_0w_ML	108B_1w_ML	108B_3w_ML	108B_4w_ML	108E_1w_ML	108E_3w_ML	108E_4w_ML	108R_1w_ML	108R_3w_ML	108R_4w_ML	108S_0w_ML	109B_1w_ML	109B_3w_ML	109B_4w_ML	109E_1w_ML	109E_3w_ML	109E_4w_ML	109R_1w_ML	109R_3w_ML	109R_4w_ML	109S_0w_ML	201B_1w_ML	201B_3w_ML	201B_4w_ML	201E_1w_ML	201E_3w_ML	201E_4w_ML	201R_1w_ML	201R_3w_ML	201R_4w_ML	201S_0w_ML	202B_1w_ML	202B_3w_ML	202B_4w_ML	202E_1w_ML	202E_3w_ML	202E_4w_ML	202R_1w_ML	202R_3w_ML	202R_4w_ML	202S_0w_ML	206B_1w_ML	206B_3w_ML	206B_4w_ML	206E_1w_ML	206E_3w_ML	206E_4w_ML	206R_1w_ML	206R_3w_ML	206R_4w_ML	206S_0w_ML	207B_1w_ML	207B_3w_ML	207B_4w_ML	207E_1w_ML	207E_3w_ML	207E_4w_ML	207R_1w_ML	207R_3w_ML	207R_4w_ML	207S_0w_ML	209B_1w_ML	209B_3w_ML	209B_4w_ML	209E_1w_ML	209E_3w_ML	209E_4w_ML	209R_1w_ML	209R_3w_ML	209R_4w_ML	209S_0w_ML	301B_1w_ML	301B_3w_ML	301B_4w_ML	301E_1w_ML	301E_3w_ML	301E_4w_ML	301R_1w_ML	301R_3w_ML	301R_4w_ML	301S_0w_ML	302B_1w_ML	302B_3w_ML	302B_4w_ML	302E_1w_ML	302E_3w_ML	302E_4w_ML	302R_1w_ML	302R_3w_ML	302R_4w_ML	302S_0w_ML	306B_1w_ML	306B_3w_ML	306B_4w_ML	306E_1w_ML	306E_3w_ML	306E_4w_ML	306R_3w_ML	306R_4w_ML	306S_0w_ML	309B_1w_ML	309B_3w_ML	309B_4w_ML	309E_1w_ML	309E_3w_ML	309E_4w_ML	309R_1w_ML	309R_3w_ML	309R_4w_ML	309S_0w_ML	310B_1w_ML	310B_3w_ML	310B_4w_ML	310E_1w_ML	310E_3w_ML	310E_4w_ML	310R_1w_ML	310R_3w_ML	310R_4w_ML	310S_0w_ML	411B_1w_ML	411B_3w_ML	411B_4w_ML	411E_1w_ML	411E_3w_ML	411E_4w_ML	411R_1w_ML	411R_3w_ML	411R_4w_ML	411S_0w_ML	Seed_CM_4
LIPASYN-PWY	15.6787	36.6019	62.581	129.6738	49.0619	71.8853	97.2407	97.1127	136.3695	55.865	30.7353	43.5543	67.6907	209.0652	28.4889	37.9487	129.5594	93.7262	110.8837	55.876	33.9641	41.1706	78.0078	95.586	26.7125	17.7082	158.0259	41.3546	105.1916	51.4451	34.669	75.6961	65.6367	203.749	34.4368	63.7513	164.1487	95.873	190.0345	49.7873	30.3806	35.8582	89.5758	94.6486	27.6209	23.2289	98.7036	96.8529	116.3769	46.8627	22.0759	43.3363	57.4189	290.329	59.4064	16.7583	76.7638	64.6737	143.4638	50.3253	28.8843	22.346	43.6575	103.4635	30.2905	38.7625	125.6418	107.4111	111.7555	36.7771	24.9464	44.7701	69.6378	92.5509	27.1097	18.6426	114.9096	83.0551	112.9292	40.2228	23.4463	59.85	66.6981	196.595	24.4378	34.2053	219.0494	75.8462	116.0837	45.8228	22.0409	57.9531	97.5561	108.6169	24.0398	34.7204	182.0771	64.8906	126.5329	63.1735	14.7201	61.3764	41.4326	107.8183	52.3874	21.6623	93.6142	136.2201	113.9751	48.6459	16.8154	47.0131	63.7674	90.7782	43.4401	17.5788	133.9565	126.0957	44.277	22.8177	43.1193	59.8395	126.9739	28.5184	25.97	75.9769	92.6581	109.0518	46.3185	21.8347	25.89	37.2102	117.059	29.727	30.8365	91.7521	87.0439	119.6631	64.1103	19.7832	42.5356	37.3106	164.1866	18.0912	53.6871	58.9209	99.3896	142.2076	40.265	55.2432
LPSSYN-PWY	1.118	13.1415	3.1076	1.9991	0.0	1.118	0.0	4.2756	0.0	7.9725	0.0	7.9295	1.1075	9.1091	0.0	0.0	2.3193	1.1176	0.0	0.0	1.1181	0.0	0.0	5.105	0.0	5.0716	0.0	0.0	1.3591	0.0	0.0	0.0	0.0	5.2722	1.9726	1.9931	0.0	4.5019	0.0	1.1008	0.0	49.5947	1.3595	1.1196	0.0	0.0	62.2971	0.0	1.1171	8.9993	0.0	1.993	0.0	5.344	9.4867	1.1184	2.4789	0.0	1.119	9.1064	0.0	7.8087	0.0	3.1944	2.1812	0.0	12.5348	0.0	0.0	0.0	0.0	40.245	1.1094	2.2371	0.0	0.0	2.7188	0.0	0.0	5.4715	1.1147	3.4195	0.0	0.0	3.0939	9.9834	0.0	0.0	0.0	3.1949	0.0	3.3686	1.3582	1.1186	5.7778	1.9977	14.846	3.3887	0.0	7.9795	3.1099	32.4376	0.0	2.2379	0.0	0.0	0.0	0.0	0.0	1.1185	1.0962	5.7864	0.0	1.1194	0.0	2.1898	0.0	0.0	0.0	7.6386	7.5066	8.7784	2.0776	5.0043	4.1322	2.2393	146.6345	0.0	1.1175	7.0812	6.4569	3.0465	4.3109	0.0	0.0	9.1079	0.0	0.0	0.0	1.0933	3.1138	0.0	30.2833	4.1527	15.1613	57.7184	32.0302	13.4252	0.0	81.0327
MET-SAM-PWY	7200.4099	7286.0909	7290.5386	8264.06	9788.4055	11111.8519	8548.0408	8363.8441	8581.0738	7705.2249	6910.838	7225.7469	7106.3536	10197.5901	10599.4152	10595.2882	9032.5521	8263.6102	8122.1998	7825.0901	6587.5664	7349.9492	7071.8791	7942.5038	8056.787	11019.0642	7091.1884	7698.3076	8069.272	7559.616	6568.3129	7114.976	7280.2722	8646.8013	9704.1914	9883.9441	10141.9776	8003.4905	8356.9886	8614.2994	6978.3107	8048.3341	7934.71	8296.1094	9718.9357	11018.708	9057.0607	7959.527	7927.6093	7967.5581	7086.5954	7633.6766	7656.9766	8717.9451	10589.4737	11032.2686	8036.3135	8265.9434	8234.0566	8670.5849	6749.0961	7026.3481	7254.7008	7870.2588	9056.1908	10388.6212	8284.6747	7883.7986	7993.492	7236.1087	6705.1379	7637.3268	7053.9368	7267.9443	8990.0388	10164.7004	8455.4144	8228.447	7768.4257	7906.4825	6975.9407	7713.6373	7168.0448	8774.4486	10401.7843	11443.4338	10158.7428	8353.0953	11823.805	8225.8293	6725.3062	6979.6161	7244.8923	7709.9063	10405.1852	8982.8088	8594.392	7945.119	7334.9047	8263.1401	7391.5034	7766.699	7537.6081	7414.4856	8549.7638	11037.8779	8842.5769	8189.8226	9412.1538	7768.2499	7079.4117	7093.1115	7510.4974	7673.26	9147.4622	10462.6875	8077.1359	8126.3593	7519.588	6896.9086	7632.8789	7221.2083	8424.2673	9813.8385	8294.7301	8731.347	8495.6049	8358.0756	7772.0206	7030.8038	7898.0302	7369.1743	7962.281	9907.3379	9040.0832	8552.6429	8447.4289	8354.9188	7681.0338	7112.3433	7840.1007	7407.3658	6463.9741	9257.6152	10585.2719	8141.1312	8197.8895	8118.8129	7755.7534	8191.6309
METH-ACETATE-PWY	139.2842	139.7912	101.1823	51.0926	82.7717	6.8493	49.1169	85.7677	78.1181	113.2758	138.9312	153.2663	112.2057	3.9989	20.3444	11.8677	68.5241	85.5422	98.5607	131.5324	219.8157	131.733	160.8983	57.6259	16.9677	14.6326	94.0707	117.9862	130.9966	113.5336	171.453	74.2844	120.8638	38.8719	22.2394	5.7126	105.9518	134.6213	139.0325	158.3031	146.245	158.5485	138.4799	95.2421	25.1551	28.5599	52.5226	150.8542	165.2764	133.3277	136.8867	98.4187	106.4782	32.2386	10.318	5.7272	87.9943	61.7747	86.6805	119.3271	117.1373	144.69	138.039	67.5359	10.5571	4.4435	112.6209	117.1354	141.2618	144.6377	144.0454	117.3093	152.7395	36.7369	6.4076	29.9557	69.0816	129.4364	137.5965	111.2646	131.6726	117.6502	117.0125	65.7593	13.8698	0.0	62.6965	78.5906	58.6886	125.481	164.6618	148.5713	135.8724	125.7495	13.0163	12.9146	111.1951	180.7537	83.0201	125.8086	114.2534	106.5461	113.6522	44.6506	10.1371	24.8612	54.8383	81.2202	106.8733	129.5176	128.3042	108.9454	130.7327	89.0278	26.4877	17.4237	95.0583	112.1249	121.0107	133.322	56.0834	66.619	52.3133	8.8103	4.4657	96.2077	51.9929	55.9974	105.4724	76.8991	91.6885	101.755	45.21	4.7989	12.6294	62.0825	71.2496	36.993	122.8046	60.6687	77.7265	129.3562	4.4424	0.0	30.0982	18.2493	85.5235	42.3657	75.5291	15.6883
METHANOGENESIS-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
METHGLYUT-PWY	70.1465	173.9841	129.4251	748.4872	100.787	64.1166	2077.988	154.9545	420.8125	350.0341	40.2308	169.0827	114.211	576.1686	50.3237	20.6086	1085.2074	168.7927	185.0653	245.4122	131.9947	153.017	114.6386	288.125	24.8384	23.269	711.2992	70.2643	164.3283	135.5302	24.8764	127.8832	111.5801	348.1876	32.2329	32.3235	837.6951	123.7248	186.4323	118.7186	95.2404	438.6964	238.8228	723.35	58.6078	19.7241	2207.922	218.8283	151.4557	259.0071	26.762	217.6451	185.8904	182.3268	39.2698	8.853	425.4043	106.4111	121.6435	381.4755	20.2455	30.3242	138.1184	355.1882	24.3521	59.272	998.1013	133.8878	200.6159	116.6492	28.5307	246.8378	81.0908	200.2967	37.412	18.8201	619.3057	72.6658	136.7472	181.7923	32.5508	211.5984	68.8632	290.2357	73.3066	52.457	1440.7916	277.2591	299.1456	97.1815	22.6512	97.3236	218.8816	80.0727	30.5607	1013.3668	803.4648	101.4957	2179.7272	414.0232	39.4334	207.5516	177.9439	61.0753	64.5367	27.4902	256.4456	137.5754	199.132	150.9265	38.3285	45.9147	71.9249	84.8569	41.9457	18.106	135.9001	214.2161	42.6467	26.6588	101.7905	75.3222	97.1386	25.0121	14.5558	336.415	227.2042	146.2511	112.619	22.2838	99.1328	43.5037	149.8369	15.6447	38.6845	557.9593	101.9657	176.793	99.2236	15.4842	70.6905	26.5489	157.2618	45.394	38.0611	195.2139	351.4933	207.9468	44.9717	195.1282
METHYLGALLATE-DEGRADATION-PWY	168.1251	269.881	275.2311	1256.9367	1642.4671	1474.5139	788.8084	740.4567	1012.275	131.8373	127.6807	212.1706	204.8108	1824.9902	1702.5423	1395.2643	1758.0008	1039.479	931.3137	212.2479	165.2641	227.5251	213.4768	1062.9019	2131.1921	1328.1639	474.2972	970.8462	1045.4902	169.636	139.0888	187.3396	200.4793	1262.3545	2053.6056	1465.0462	821.3365	1076.4276	922.2266	186.6035	161.8241	330.1605	261.0259	1343.0816	1801.8763	1184.8098	715.3029	756.4481	1059.3571	159.3711	110.1269	184.4141	162.9864	1237.913	1265.8627	1027.025	864.9292	700.6685	970.8235	154.4593	66.1725	119.5353	160.9215	1426.3913	1876.8652	1483.8909	917.2101	994.249	842.3425	160.296	87.0021	232.9607	187.0447	1627.1539	2236.2656	1719.0596	1241.0049	1102.1725	1025.807	229.9833	111.9916	220.5436	249.3267	1613.6544	1723.3458	1556.9223	1213.1259	1194.81	641.8106	219.9084	169.6267	196.0182	203.4709	1536.3334	1845.6108	1691.0864	981.0244	983.7379	1356.7526	170.589	164.8001	193.6741	189.1612	1426.7677	1788.4259	1095.0605	1108.3173	856.4961	869.5529	138.5526	90.5827	142.2934	153.5077	1422.333	1938.3911	1310.4012	1141.5286	954.1678	122.553	100.0154	205.2983	92.5325	1192.6585	1964.7586	1658.2049	810.4549	869.801	727.9518	216.8121	109.7115	216.1371	148.7699	1143.2074	1952.4821	1781.2018	690.217	987.9162	948.2431	145.7932	64.0134	186.1618	183.9176	1159.8246	1563.0216	1436.5337	1044.3962	697.1763	769.4766	134.2433	282.8529
NAD-BIOSYNTHESIS-II	466.477	495.5395	628.0144	3081.0029	680.2115	876.3494	5318.6558	1383.2768	1317.3259	1001.374	232.4336	485.7173	311.533	5614.0263	517.5441	625.7381	5239.3862	1272.7668	811.6432	581.9376	452.8912	459.1589	255.5675	1186.8884	737.2357	631.5046	2501.85	911.8357	1308.4849	388.6014	198.2792	332.9967	468.5425	2450.9567	556.4598	929.198	5750.754	844.3802	895.7993	311.2739	325.9491	1060.4029	1663.7467	2466.7357	598.5776	667.243	4942.9397	1186.3252	804.2489	583.5241	231.2129	676.8311	383.0679	1272.5826	567.7495	633.2334	3201.7697	1102.8943	1059.6032	2741.8453	144.8055	202.6831	402.4329	1453.9744	686.2765	1199.4264	3800.109	1316.8933	1115.9182	301.9248	195.8628	660.535	322.0966	1517.5472	664.8083	468.1619	4007.5623	1071.3699	961.4374	555.6517	200.2235	595.5857	406.0983	2192.3463	675.24	3863.005	6847.6443	1292.2315	7303.2177	815.0253	193.675	252.9064	663.4841	791.596	464.0433	3416.2125	4104.9519	881.198	4677.2306	1322.2529	496.2836	865.8154	526.344	1416.1321	932.129	924.7053	4473.3297	1241.2694	1509.9284	413.9734	209.9612	265.1746	293.886	1364.6266	609.13	378.9048	1305.2386	1232.4144	189.269	265.079	488.067	269.6587	1120.4123	621.9414	724.0434	3985.1041	1376.8304	1094.7664	460.1807	250.8792	409.8794	286.9843	1307.026	424.2001	838.3345	4032.8297	1123.9013	1283.4078	376.7173	204.8486	750.6565	265.1151	921.0319	471.75	597.3209	3945.8602	1417.748	1077.6796	238.1596	583.421
NADSYN-PWY	1007.4279	1106.7302	1174.3441	837.7307	2250.802	1705.2612	709.7263	2474.5354	1498.5515	760.939	1004.5483	957.4228	1029.2112	1185.589	1275.5759	1526.683	549.9172	1693.5669	1513.0862	1004.802	719.404	1169.9074	723.5241	801.5223	1372.7969	1367.9779	694.9016	1322.6999	1700.4296	832.0405	841.5378	852.1413	790.6159	785.5188	1664.9878	1838.844	602.5292	1307.4637	1369.5562	820.7014	814.7892	1955.1702	1005.3548	1474.0848	2306.0728	1313.0395	1446.3412	2125.6835	1414.3106	995.3146	784.6346	916.2381	931.4648	1298.7609	1606.598	1706.94	741.0991	2162.9884	1857.6797	958.7695	867.404	733.2982	977.9574	1078.3021	2904.369	2137.3245	778.9254	1793.8254	1839.9314	873.513	800.4628	1191.1722	716.0934	768.0334	2321.0915	1829.5209	468.4061	1952.1435	1481.5073	1039.49	797.6432	1247.2893	864.9572	1187.6963	2162.5113	2145.4171	920.8556	1820.7318	760.9283	1097.4581	812.3557	805.3484	858.9833	1050.4767	2132.457	1132.1224	819.2155	1702.3267	732.2212	1041.2547	792.0649	885.892	986.0189	831.3802	2596.8097	1628.4693	508.7859	1782.2289	1541.2014	812.1007	791.0598	812.6991	838.0126	815.167	1955.9766	2148.9004	1811.1837	1940.6182	960.6397	811.4995	1016.7179	682.8693	920.1735	2333.1345	2448.7695	651.4359	1831.8074	1694.7868	987.8121	960.0844	979.574	865.1937	816.8339	1755.9217	2152.6723	822.9543	1974.9768	2055.6352	1004.2063	1091.3019	924.0198	881.0923	846.4684	1458.644	1483.518	646.8581	1768.106	1886.4307	1011.0106	663.6955
NAGLIPASYN-PWY	10135.582	10305.5255	10029.9597	5313.3456	7500.9198	9315.6174	9153.4618	9548.5297	9348.9089	10145.2983	10119.1606	10054.5723	10167.5515	8170.5333	8262.0778	9161.5077	8254.1588	9343.7179	9215.9274	10399.2192	9916.7526	10057.0365	9982.1848	3317.0439	6307.3858	9181.9607	6842.5	9335.7661	8926.0354	10027.185	10229.1452	10139.1501	9924.5559	4504.7628	7514.7241	8403.3746	8911.1436	9031.6605	9225.2912	10148.3576	9923.5281	9946.6296	10005.615	4844.3153	7437.3545	9105.6026	8603.0347	9411.3889	8828.0573	10203.0254	10573.4955	10368.6253	10313.3211	4410.7186	8579.2589	9221.3266	8112.9656	9718.3037	9108.5454	10168.5962	9811.1169	10434.7115	10090.9463	4131.6873	7060.2048	8938.6187	8295.5812	9561.411	9211.6486	10038.0055	10291.8759	10042.2024	10098.4164	3647.094	6887.1398	8184.9967	7746.7553	8945.627	9065.5435	10343.1592	10257.9367	10414.3054	10129.705	4591.0073	8285.9249	9180.1086	8643.4327	9550.6509	10761.0444	10265.7759	10100.233	10108.6309	10158.399	2962.5733	7965.5089	7973.1334	8152.3632	9095.9336	7620.1519	9713.5009	10368.5096	10234.6692	10354.7311	4720.4903	6696.8224	9184.1263	8132.9769	9134.9781	9308.592	10307.5646	10353.0658	10406.7672	10314.154	3262.6341	7164.4021	8222.8739	8830.8484	8684.944	10139.0888	10488.2719	10266.9078	10103.3647	3881.119	7548.9005	7202.7439	8515.0632	9391.9273	9516.4344	10327.806	10491.0029	10143.5412	10209.6259	4051.9109	7646.2272	7777.5967	8345.898	9164.0774	9463.788	10244.1875	10288.2949	10128.3985	9957.9261	3370.9705	7290.2135	8781.578	7537.9316	8940.6041	8781.6033	10089.1587	7831.8735
NONMEVIPP-PWY	10955.9998	11055.088	10897.993	8578.606	11329.4863	12068.9149	7696.985	11090.8901	10565.7865	10984.1731	11017.8701	11004.0186	10969.8138	8269.5336	11421.0696	11945.295	8319.8005	11071.5136	10935.4977	10699.1839	10816.9821	10848.2745	10906.3734	8575.0253	10031.81	11906.2631	8025.6225	11091.8831	10945.1399	10948.9934	11026.989	10992.3559	10943.598	9293.9871	10937.1751	11547.6852	10116.1277	10922.1577	10898.2736	11120.8134	10994.4174	10678.6646	10875.9787	9106.0881	11135.3845	11873.689	9621.4538	10993.181	10417.7724	10662.5776	11089.615	10847.6181	10919.9498	9170.192	11508.5121	11959.5099	8736.715	11250.2725	11015.2559	10878.5469	10827.0349	11187.6976	10950.1389	8845.2623	11163.891	11841.0492	8697.3494	11176.3389	11013.567	10990.7439	11007.7182	10875.9111	10960.4303	8141.3504	10906.9966	11583.1181	8736.1904	11057.464	10903.1069	10479.8204	11051.7059	10930.5125	10926.0696	8911.0526	11616.1824	12050.3284	9337.0457	11227.3873	11707.7434	10887.3791	11052.8715	10774.1643	10908.7477	8438.3829	11658.7336	10129.3798	9187.9489	11094.4948	8467.0912	10728.8069	11052.077	10748.7574	11020.7715	8408.7851	10862.6598	11955.1843	8935.5897	11009.5942	10896.156	10755.7035	11023.8066	10969.6552	11030.6926	8353.1149	11053.1277	11855.2847	11000.966	10776.1805	11084.4172	11009.2888	10813.9961	10812.762	9120.6393	11348.8552	11013.0756	9186.3724	11022.9713	10864.5255	10869.5718	11182.1266	11004.5517	11173.0102	8813.984	11345.4371	11271.0236	8996.4304	11061.3471	10823.2271	11141.0497	11100.596	10903.4679	10826.7855	6972.29	10767.5092	11772.1636	8173.6378	10696.1508	10718.4854	11060.684	10578.0551
NONOXIPENT-PWY	15337.8254	15535.2048	15207.732	13664.6571	19970.6592	21105.921	13747.5783	15346.6124	15258.5508	15533.3649	15454.0216	15474.5434	15366.1059	15526.9495	20326.5637	20578.5772	14257.1171	15457.7358	15066.7911	15672.7311	15321.7025	15666.4656	15590.2396	12957.144	17986.1333	20789.9646	11463.3511	15461.8506	15111.4353	15552.9456	15603.0882	15433.0065	15256.8701	14005.7942	19723.0023	20154.5345	14856.6493	15242.8591	15179.7149	16226.7903	15224.0023	15391.2345	15268.9392	14102.2171	19973.3771	20865.9395	14002.0376	15178.5175	14941.3741	15412.9529	15370.5042	15377.4986	15238.0392	13889.6724	20263.8169	20835.0543	13073.6911	15484.1698	15297.1652	15115.839	15007.1226	15441.0405	15205.414	13775.927	20059.4983	20657.0863	13400.3206	15633.9851	15098.1428	15246.6298	15258.3144	15468.5448	15385.2849	13164.6499	19572.6959	20286.2104	13389.3161	15365.564	15132.0174	15588.2641	15398.1254	15588.7603	15340.7269	13952.3022	20738.8183	20163.3187	13860.6531	15647.3596	16055.3718	15801.4738	15388.2851	15575.4119	15277.1626	13361.7922	20816.0027	17328.1687	13683.7133	15310.5596	13055.9688	15349.844	15354.3368	15459.7592	15252.5017	13288.217	19098.6528	20827.976	13370.6817	15465.4014	15023.6587	15398.8431	15336.6485	15471.0349	15377.0177	13306.6028	19548.5554	20817.4861	15197.1122	15106.6028	15529.3508	15442.8957	15642.6576	15309.7371	13734.8991	20405.0792	18835.8561	13669.6034	15580.1463	15102.9599	15463.7074	15347.9281	15568.1718	15368.2183	13419.2255	20031.933	19537.3737	13260.3453	15513.5281	15470.7444	15591.0256	15146.0623	15556.8115	15324.6912	10765.151	18906.1149	20539.5803	12280.1643	15306.0735	15144.1148	15589.0188	15011.3837
OANTIGEN-PWY	11657.0469	11678.6156	11540.1306	9134.9297	13015.4279	14055.4381	8849.1884	11474.3237	11415.5689	11691.6356	11743.9464	11740.7625	11705.3684	9265.2706	13286.3889	13795.2127	8768.0498	11442.8012	11453.8683	11562.3814	11630.9326	11627.1462	11802.712	9067.254	11325.9166	13731.2438	8681.918	11539.2405	11231.589	11756.4203	11900.6428	11700.7422	11619.5477	9811.4909	12702.2633	13077.6538	9686.2384	11352.0385	11577.2998	12045.105	11803.585	11454.7538	11459.8377	9758.8156	13009.5021	13742.9207	9866.1922	11390.1594	11135.5105	11485.1366	11702.5695	11458.1556	11531.6251	9563.6649	13328.9504	13864.8041	8994.8405	11423.0943	11332.982	10970.3652	11510.6726	11793.5241	11488.6231	9598.705	12900.432	13486.9885	9106.5219	11470.8789	11440.1155	11633.0549	11729.2859	11526.1399	11650.2105	8731.8233	12490.1406	13387.6329	9003.3463	11375.9061	11321.4739	11404.0026	11798.8044	11686.392	11687.2315	9450.5582	13540.3852	13652.0353	8429.0582	11495.2139	10185.4479	11626.1023	11778.3801	11729.7971	11552.1999	9029.0752	13615.1846	11578.5049	9428.0142	11558.743	9077.8489	11495.2582	11707.8228	11476.7622	11620.4241	8759.5918	12287.8289	13843.7022	8745.7906	11276.9519	11359.7277	11508.2623	11673.076	11706.2245	11719.7744	8849.4625	12633.31	13702.2206	11231.2709	11215.3466	11675.8054	11770.0948	11530.7783	11467.3515	9786.3961	13111.9634	12368.4301	9281.092	11330.7496	11374.0472	11556.2935	11746.2116	11602.5925	11624.5562	9296.4654	13043.2845	12731.4528	8981.2463	11248.9262	11278.5358	11740.512	11484.7128	11390.6235	11462.7623	7182.472	12346.1094	13633.442	8086.2147	10998.314	11144.643	11697.7869	11189.5215
ORNARGDEG-PWY	359.0884	236.8479	356.9517	2997.6337	177.7973	329.4791	4982.259	235.1725	1104.5351	1059.3722	81.8473	364.2197	118.8491	5967.2801	79.5082	52.5016	5660.0437	303.1343	340.05	536.1144	306.618	215.6481	72.6497	1009.0373	48.7265	210.4157	2890.2275	162.0622	840.5244	238.025	26.1459	188.1197	322.589	2404.6191	74.4481	302.8679	6044.5621	195.1739	530.5694	233.6499	172.2617	700.6964	1702.6966	2074.7132	198.6967	183.1114	4662.3453	394.4433	274.3738	658.3552	96.4008	445.3064	238.7427	980.5744	92.67	312.1656	3530.9584	180.1736	532.0119	3158.4006	29.9237	107.9792	226.8146	1173.262	45.1192	205.5905	4049.2075	317.7023	670.1566	228.4515	55.1761	393.3348	105.5646	1094.4782	28.9886	150.8442	4368.4642	123.911	313.3657	520.5507	119.4288	317.7061	146.1161	2207.2332	213.0272	3772.4501	7111.841	556.5088	7823.0804	1099.0628	30.491	97.9759	473.7	411.0349	59.506	1534.855	4377.1678	156.4342	3281.8269	1480.1351	483.029	705.0378	251.2087	1184.9856	391.856	463.5887	5000.8848	269.7266	1134.6063	443.1193	85.6858	46.5265	104.9289	1142.6019	123.5958	54.1226	259.9669	629.0771	91.0603	147.7985	271.2361	135.681	936.8319	105.1318	82.1708	4544.8958	713.0141	714.0213	407.4259	35.2508	91.6886	70.6197	1084.4141	57.4925	77.2656	4457.0954	234.608	416.4248	260.7481	23.4231	573.549	6.8615	828.2665	97.1494	203.2387	4502.7612	750.6888	446.4685	99.1447	349.9567
ORNDEG-PWY	394.4874	504.4118	435.4104	2415.0806	665.7575	937.8442	3633.705	590.4344	2495.6909	862.2361	224.7089	460.8796	301.9661	4792.6961	351.0829	552.5362	4598.0294	819.2895	1251.8063	589.7058	293.4156	387.6076	233.9925	1156.2936	562.505	668.9606	2924.8223	362.6766	1112.3845	289.5794	116.1271	437.9535	385.615	2083.4537	448.3878	1019.6961	4772.3548	680.2804	1582.5684	1867.9105	196.0207	1074.3139	1319.4292	1931.5499	575.368	570.0592	3728.1524	675.8108	1159.1004	908.9517	137.7211	399.7214	462.2965	1516.1961	711.4529	695.7169	2788.9896	605.2549	851.9291	2257.3401	111.2714	394.2652	310.7259	1079.4684	573.8329	753.4777	3200.5628	623.243	1575.5915	331.4027	133.2904	474.5168	288.5604	1173.5577	608.1636	498.3963	3500.9273	480.8336	703.2051	660.4027	263.4241	629.603	366.0453	2324.6579	781.2024	4060.5623	5516.2758	1011.7274	6553.1031	1843.0833	131.8324	395.7508	455.617	786.3178	622.7471	3086.8583	3607.204	497.596	3057.0031	1227.3553	502.4296	657.8994	387.3288	1460.4298	1104.8553	1052.5741	3829.4627	832.8732	1550.4511	559.3965	162.4938	183.4574	396.3881	1213.3567	741.1808	566.4227	570.9553	1142.7578	334.8649	187.9519	401.764	408.3998	1361.6955	530.9513	1032.5696	3447.4496	952.0175	1737.3294	593.8977	99.104	578.4466	252.3037	1306.6876	595.0501	753.3402	3521.4554	515.6551	846.1804	449.8035	150.6365	532.9033	245.1861	1154.7227	592.3667	899.168	3369.9469	1135.7487	830.8869	369.8838	322.6653
