,Sample_ID,Soil_type,Treatment,Compartment,Treat,Time,Maturity_group,Class
Ag_SOJ_2,Ag_SOJ_2,Agriculture,SOJ,Rhizosphere,Ag_SOJ,09_05,MG_V,Ag_SOJ
Ag_SOJ_3,Ag_SOJ_3,Agriculture,SOJ,Rhizosphere,Ag_SOJ,09_05,MG_V,Ag_SOJ
Ag_SOJ_4,Ag_SOJ_4,Agriculture,SOJ,Rhizosphere,Ag_SOJ,09_05,MG_V,Ag_SOJ
Ag_SOJ_5,Ag_SOJ_5,Agriculture,SOJ,Rhizosphere,Ag_SOJ,09_07,MG_V,Ag_SOJ
Ag_SOJ_6,Ag_SOJ_6,Agriculture,SOJ,Rhizosphere,Ag_SOJ,09_07,MG_V,Ag_SOJ
Ag_SOJ_7,Ag_SOJ_7,Agriculture,SOJ,Rhizosphere,Ag_SOJ,09_07,MG_V,Ag_SOJ
Ag_W82_1,Ag_W82_1,Agriculture,W82,Rhizosphere,Ag_W82,08_17,MG_III,Ag_W82
Ag_W82_2,Ag_W82_2,Agriculture,W82,Rhizosphere,Ag_W82,08_17,MG_III,Ag_W82
Ag_W82_3,Ag_W82_3,Agriculture,W82,Rhizosphere,Ag_W82,08_17,MG_III,Ag_W82
Ag_W82_4,Ag_W82_4,Agriculture,W82,Rhizosphere,Ag_W82,08_17,MG_III,Ag_W82
Ag_W82_5,Ag_W82_5,Agriculture,W82,Rhizosphere,Ag_W82,08_17,MG_III,Ag_W82
Ag_W82_6,Ag_W82_6,Agriculture,W82,Rhizosphere,Ag_W82,08_21,MG_III,Ag_W82
Ag_W82_7,Ag_W82_7,Agriculture,W82,Rhizosphere,Ag_W82,08_21,MG_III,Ag_W82
Ag_W82_8,Ag_W82_8,Agriculture,W82,Rhizosphere,Ag_W82,08_21,MG_III,Ag_W82
Ag_Fresh_1,Ag_Fresh_1,Agriculture,Fresh,Fresh,Ag_Fresh,06_24,Non,Ag_Soil
Ag_Fresh_2,Ag_Fresh_2,Agriculture,Fresh,Fresh,Ag_Fresh,06_24,Non,Ag_Soil
Ag_Fresh_3,Ag_Fresh_3,Agriculture,Fresh,Fresh,Ag_Fresh,06_24,Non,Ag_Soil
Ag_Fresh_4,Ag_Fresh_4,Agriculture,Fresh,Fresh,Ag_Fresh,06_24,Non,Ag_Soil
Ag_Fresh_5,Ag_Fresh_5,Agriculture,Fresh,Fresh,Ag_Fresh,06_24,Non,Ag_Soil
For_Bulk_1,For_Bulk_1,Forest,Bulk,Bulk,For_Bulk,08_11,Non,For_Soil
For_Bulk_2,For_Bulk_2,Forest,Bulk,Bulk,For_Bulk,08_15,Non,For_Soil
For_Bulk_3,For_Bulk_3,Forest,Bulk,Bulk,For_Bulk,08_17,Non,For_Soil
For_Bulk_4,For_Bulk_4,Forest,Bulk,Bulk,For_Bulk,08_17,Non,For_Soil
For_Bulk_5,For_Bulk_5,Forest,Bulk,Bulk,For_Bulk,08_19,Non,For_Soil
For_Bulk_6,For_Bulk_6,Forest,Bulk,Bulk,For_Bulk,08_26,Non,For_Soil
For_Bulk_7,For_Bulk_7,Forest,Bulk,Bulk,For_Bulk,08_26,Non,For_Soil
For_Bulk_8,For_Bulk_8,Forest,Bulk,Bulk,For_Bulk,08_28,Non,For_Soil
For_Bulk_9,For_Bulk_9,Forest,Bulk,Bulk,For_Bulk,09_06,Non,For_Soil
For_Bulk_10,For_Bulk_10,Forest,Bulk,Bulk,For_Bulk,09_07,Non,For_Soil
For_Bulk_11,For_Bulk_11,Forest,Bulk,Bulk,For_Bulk,09_07,Non,For_Soil
For_Bulk_12,For_Bulk_12,Forest,Bulk,Bulk,For_Bulk,09_07,Non,For_Soil
For_WIL_1,For_WIL_1,Forest,WIL,Rhizosphere,For_WIL,08_11,MG_III,For_WIL
For_WIL_2,For_WIL_2,Forest,WIL,Rhizosphere,For_WIL,08_11,MG_III,For_WIL
For_WIL_3,For_WIL_3,Forest,WIL,Rhizosphere,For_WIL,08_11,MG_III,For_WIL
For_WIL_4,For_WIL_4,Forest,WIL,Rhizosphere,For_WIL,08_11,MG_III,For_WIL
For_WIL_5,For_WIL_5,Forest,WIL,Rhizosphere,For_WIL,08_11,MG_III,For_WIL
For_WIL_6,For_WIL_6,Forest,WIL,Rhizosphere,For_WIL,08_11,MG_III,For_WIL
For_WIL_7,For_WIL_7,Forest,WIL,Rhizosphere,For_WIL,08_11,MG_III,For_WIL
For_WIL_8,For_WIL_8,Forest,WIL,Rhizosphere,For_WIL,08_11,MG_III,For_WIL
For_WIL_9,For_WIL_9,Forest,WIL,Rhizosphere,For_WIL,08_11,MG_III,For_WIL
For_WIL_10,For_WIL_10,Forest,WIL,Rhizosphere,For_WIL,08_11,MG_III,For_WIL
For_DRT_1,For_DRT_1,Forest,DRT,Rhizosphere,For_DRT,08_26,MG_VI,For_DRT
For_DRT_2,For_DRT_2,Forest,DRT,Rhizosphere,For_DRT,08_26,MG_VI,For_DRT
For_DRT_3,For_DRT_3,Forest,DRT,Rhizosphere,For_DRT,08_26,MG_VI,For_DRT
For_DRT_4,For_DRT_4,Forest,DRT,Rhizosphere,For_DRT,08_26,MG_VI,For_DRT
For_DRT_5,For_DRT_5,Forest,DRT,Rhizosphere,For_DRT,08_26,MG_VI,For_DRT
For_DRT_6,For_DRT_6,Forest,DRT,Rhizosphere,For_DRT,08_28,MG_VI,For_DRT
For_DRT_7,For_DRT_7,Forest,DRT,Rhizosphere,For_DRT,08_28,MG_VI,For_DRT
For_DRT_8,For_DRT_8,Forest,DRT,Rhizosphere,For_DRT,08_28,MG_VI,For_DRT
For_CNR_1,For_CNR_1,Forest,CNR,Rhizosphere,For_CNR,08_19,MG_IV,For_CNR
For_CNR_2,For_CNR_2,Forest,CNR,Rhizosphere,For_CNR,08_19,MG_IV,For_CNR
For_CNR_3,For_CNR_3,Forest,CNR,Rhizosphere,For_CNR,08_19,MG_IV,For_CNR
For_CNR_4,For_CNR_4,Forest,CNR,Rhizosphere,For_CNR,08_19,MG_IV,For_CNR
For_CNR_5,For_CNR_5,Forest,CNR,Rhizosphere,For_CNR,08_19,MG_IV,For_CNR
For_CNR_6,For_CNR_6,Forest,CNR,Rhizosphere,For_CNR,08_26,MG_IV,For_CNR
